login_time,logout_time,failed_attempts,bluetooth_status
2023-12-01 08:00:00,2023-12-01 09:00:00,0,1
2023-12-01 10:00:00,2023-12-01 11:00:00,1,1
2023-12-01 12:00:00,2023-12-01 13:00:00,0,1
2023-12-01 14:00:00,2023-12-01 15:00:00,0,1
2023-12-01 16:00:00,2023-12-01 17:00:00,2,0
2023-12-01 18:00:00,2023-12-01 19:00:00,0,1
2023-12-02 08:00:00,2023-12-02 09:00:00,0,1
2023-12-02 10:00:00,2023-12-02 11:00:00,0,1
2023-12-02 12:00:00,2023-12-02 13:00:00,1,1
2023-12-02 14:00:00,2023-12-02 15:00:00,0,1
2023-12-02 16:00:00,2023-12-02 17:00:00,0,1
2023-12-02 18:00:00,2023-12-02 19:00:00,3,0
2023-12-03 08:00:00,2023-12-03 09:00:00,0,1
2023-12-03 10:00:00,2023-12-03 11:00:00,0,1
2023-12-03 12:00:00,2023-12-03 13:00:00,0,1
2023-12-03 14:00:00,2023-12-03 15:00:00,0,1
2023-12-03 16:00:00,2023-12-03 17:00:00,0,1
2023-12-03 18:00:00,2023-12-03 19:00:00,0,1
2023-12-04 08:00:00,2023-12-04 09:00:00,0,1
2023-12-04 10:00:00,2023-12-04 11:00:00,0,1
2023-12-04 12:00:00,2023-12-04 13:00:00,0,1
2023-12-04 14:00:00,2023-12-04 15:00:00,0,1
2023-12-04 16:00:00,2023-12-04 17:00:00,0,1
2023-12-04 18:00:00,2023-12-04 19:00:00,1,0
2023-12-05 08:00:00,2023-12-05 09:00:00,0,1
2023-12-05 10:00:00,2023-12-05 11:00:00,0,1
2023-12-05 12:00:00,2023-12-05 13:00:00,0,1
2023-12-05 14:00:00,2023-12-05 15:00:00,1,1
2023-12-05 16:00:00,2023-12-05 17:00:00,0,1
2023-12-05 18:00:00,2023-12-05 19:00:00,0,1
2023-12-06 08:00:00,2023-12-06 09:00:00,0,1
2023-12-06 10:00:00,2023-12-06 11:00:00,0,1
2023-12-06 12:00:00,2023-12-06 13:00:00,0,1
2023-12-06 14:00:00,2023-12-06 15:00:00,0,1
2023-12-06 16:00:00,2023-12-06 17:00:00,0,1
2023-12-06 18:00:00,2023-12-06 19:00:00,0,1
2023-12-07 08:00:00,2023-12-07 09:00:00,0,1
2023-12-07 10:00:00,2023-12-07 11:00:00,0,1
2023-12-07 12:00:00,2023-12-07 13:00:00,0,1
2023-12-07 14:00:00,2023-12-07 15:00:00,0,1
2023-12-07 16:00:00,2023-12-07 17:00:00,0,1
2023-12-07 18:00:00,2023-12-07 19:00:00,0,1
2023-12-08 08:00:00,2023-12-08 09:00:00,0,1
2023-12-08 10:00:00,2023-12-08 11:00:00,0,1
2023-12-08 12:00:00,2023-12-08 13:00:00,0,1
2023-12-08 14:00:00,2023-12-08 15:00:00,0,1
2023-12-08 16:00:00,2023-12-08 17:00:00,0,1
2023-12-08 18:00:00,2023-12-08 19:00:00,0,1
